train_vector_count;layers;batch_size;decay_rate;momentum;learning_decay_rate;clip_value;ACCURACY;total_time_milliseconds;epochs;time
10;[784, 128, 16, 10];64;0.01;0.8;500.0;5.0;0.1004;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.0;500.0;5.0;0.0765;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.0;500.0;1.0;0.0974;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.0;1000.0;5.0;0.0973;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.0;1000.0;1.0;0.1012;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.0;500.0;5.0;0.1186;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.0;500.0;1.0;0.1192;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.0;1000.0;5.0;0.119;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.0;1000.0;1.0;0.1183;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.8;500.0;5.0;0.1091;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.8;500.0;1.0;0.107;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.8;1000.0;5.0;0.1069;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.8;1000.0;1.0;0.1079;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.8;500.0;5.0;0.1084;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.8;500.0;1.0;0.1083;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.8;1000.0;5.0;0.1085;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.8;1000.0;1.0;0.108;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.9;500.0;5.0;0.1108;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.9;500.0;1.0;0.1124;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.9;1000.0;5.0;0.1123;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.9;1000.0;1.0;0.1137;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.9;500.0;5.0;0.1131;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.9;500.0;1.0;0.1136;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.9;1000.0;5.0;0.115;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.9;1000.0;1.0;0.1147;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.0;500.0;5.0;0.117;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.0;500.0;1.0;0.1157;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.0;1000.0;5.0;0.1149;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.0;1000.0;1.0;0.117;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.0;500.0;5.0;0.1177;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.0;500.0;1.0;0.1172;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.0;1000.0;5.0;0.1184;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.0;1000.0;1.0;0.1171;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.8;500.0;5.0;0.1209;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.8;500.0;1.0;0.1288;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.8;1000.0;5.0;0.1326;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.01;0.8;1000.0;1.0;0.1341;NULL;NULL;NULL
10;[784, 128, 16, 10];32;0.0;0.8;500.0;5.0;0.1333;NULL;NULL;NULL
